iter	Passed	Remaining
413	3264	4620
414	3271	4611
415	3279	4603
416	3285	4593
417	3293	4585
418	3301	4577
419	3308	4569
420	3316	4561
421	3324	4553
422	3332	4545
423	3339	4536
424	3346	4527
425	3352	4516
426	3359	4508
427	3367	4499
428	3374	4491
429	3382	4483
430	3389	4474
431	3397	4467
432	3402	4455
433	3409	4445
434	3415	4436
435	3422	4427
436	3428	4417
437	3435	4408
438	3443	4400
439	3451	4392
440	3459	4385
441	3465	4375
442	3473	4366
443	3479	4357
444	3486	4348
445	3494	4340
446	3501	4332
447	3509	4324
448	3516	4315
449	3538	4324
450	3545	4316
451	3553	4308
452	3561	4300
453	3568	4292
454	3576	4283
455	3583	4275
456	3591	4267
457	3599	4259
458	3607	4251
459	3614	4242
460	3621	4234
461	3629	4226
462	3636	4217
463	3643	4209
464	3651	4201
465	3658	4192
466	3666	4184
467	3674	4177
468	3682	4169
469	3690	4161
470	3697	4153
471	3705	4145
472	3713	4137
473	3720	4128
474	3728	4120
475	3735	4112
476	3743	4104
477	3749	4095
478	3757	4087
479	3765	4079
480	3773	4071
481	3781	4063
482	3788	4055
483	3796	4047
484	3804	4039
485	3810	4030
486	3818	4022
487	3826	4014
488	3832	4004
489	3840	3996
490	3848	3989
491	3856	3981
492	3864	3973
493	3885	3979
494	3894	3972
495	3901	3964
496	3909	3956
497	3916	3948
498	3923	3938
499	3931	3931
500	3939	3923
501	3946	3914
502	3954	3907
503	3960	3897
504	3968	3889
505	3976	3882
506	3985	3875
507	3991	3865
508	3999	3857
509	4006	3849
510	4013	3840
511	4021	3832
512	4027	3823
513	4035	3815
514	4043	3807
515	4051	3799
516	4058	3791
517	4066	3783
518	4074	3776
519	4082	3768
520	4089	3759
521	4096	3751
522	4104	3743
523	4112	3736
524	4120	3728
525	4128	3720
526	4136	3712
527	4144	3704
528	4152	3697
529	4160	3689
530	4167	3681
531	4175	3673
532	4183	3665
533	4190	3656
534	4198	3649
535	4206	3641
536	4215	3634
537	4223	3626
538	4231	3618
539	4237	3609
540	4245	3602
541	4267	3605
542	4272	3596
543	4280	3587
544	4287	3579
545	4294	3571
546	4301	3562
547	4306	3552
548	4315	3544
549	4322	3536
550	4330	3528
551	4336	3519
552	4344	3512
553	4352	3503
554	4359	3495
555	4367	3487
556	4375	3479
557	4382	3471
558	4403	3473
559	4411	3466
560	4418	3457
561	4437	3458
562	4446	3451
563	4467	3453
564	4475	3445
565	4483	3437
566	4516	3449
567	4523	3440
568	4529	3431
569	4536	3422
570	4544	3414
571	4549	3404
572	4558	3396
573	4579	3398
574	4587	3390
575	4595	3382
576	4603	3374
577	4609	3365
578	4616	3356
579	4624	3348
580	4630	3339
581	4637	3330
582	4643	3321
583	4650	3312
584	4657	3304
585	4664	3295
586	4673	3287
587	4679	3278
588	4687	3270
589	4694	3262
590	4701	3253
591	4708	3245
592	4716	3237
593	4722	3228
594	4728	3218
595	4736	3210
596	4741	3201
597	4749	3192
598	4755	3183
599	4763	3175
600	4769	3166
601	4774	3156
602	4782	3148
603	4788	3139
604	4796	3131
605	4804	3123
606	4812	3115
607	4819	3107
608	4826	3098
609	4832	3089
610	4838	3080
611	4844	3071
612	4850	3062
613	4859	3054
614	4866	3046
615	4873	3038
616	4882	3030
617	4889	3022
618	4897	3014
619	4905	3006
620	4913	2998
621	4919	2989
622	4927	2982
623	4933	2972
624	4941	2964
625	4947	2955
626	4955	2948
627	4962	2939
628	4969	2931
629	4977	2923
630	4983	2914
631	4991	2906
632	5013	2906
633	5019	2897
634	5027	2889
635	5035	2881
636	5042	2873
637	5048	2864
638	5056	2856
639	5093	2865
640	5099	2855
641	5106	2847
642	5117	2841
643	5126	2834
644	5135	2826
645	5142	2817
646	5149	2809
647	5158	2802
648	5166	2794
649	5173	2785
650	5181	2777
651	5187	2769
652	5194	2760
653	5202	2752
654	5209	2743
655	5217	2735
656	5223	2726
657	5230	2718
658	5238	2710
659	5256	2707
660	5262	2698
661	5269	2690
662	5277	2682
663	5282	2673
664	5287	2663
665	5292	2654
666	5300	2646
667	5307	2637
668	5314	2629
669	5320	2620
670	5327	2612
671	5335	2604
672	5343	2596
673	5350	2588
674	5357	2579
675	5364	2571
676	5372	2563
677	5379	2554
678	5387	2546
679	5394	2538
680	5401	2530
681	5409	2522
682	5416	2513
683	5423	2505
684	5431	2497
685	5438	2489
686	5446	2481
687	5452	2472
688	5460	2464
689	5465	2455
690	5472	2447
691	5480	2439
692	5488	2431
693	5495	2423
694	5503	2414
695	5510	2406
696	5516	2397
697	5524	2390
698	5531	2382
699	5539	2374
700	5545	2365
701	5553	2357
702	5562	2349
703	5569	2341
704	5576	2333
705	5583	2325
706	5589	2316
707	5595	2307
708	5602	2299
709	5609	2291
710	5615	2282
711	5622	2274
712	5629	2265
713	5636	2257
714	5642	2249
715	5650	2241
716	5657	2232
717	5664	2224
718	5672	2216
719	5676	2207
720	5684	2199
721	5689	2190
722	5696	2182
723	5704	2174
724	5711	2166
725	5718	2158
726	5724	2149
727	5732	2141
728	5740	2133
729	5748	2126
730	5754	2117
731	5762	2109
732	5769	2101
733	5775	2092
734	5782	2084
